Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,SZA ,Kill Bill,5,1,(x2),47288509,5814143.0,208044297
2,+3,Metro Boomin ,Creepin',6,2,(x1),30753658,2661426.0,184223144
3,-1,Sam Smith ,Unholy,16,1,(x7),30733283,-2398892.0,673533882
4,-1,Harry Styles ,As It Was,41,1,(x11),28522200,-2475884.0,1747957886
5,-1,David Guetta ,I'm Good (Blue),20,2,(x4),27260313,-3443943.0,568898155
6,=,Manuel Turizo ,La Bachata,28,4,,25879286,-1477809.0,693820743
7,=,Taylor Swift ,Anti,12,1,(x3),24839659,-607201.0,458799904
8,+1,Arcángel ,La Jumpa,6,8,,24149297,249994.0,147015494
9,-1,Bizarrap ,"Quevedo: Bzrp Music Sessions, Vol. 52",27,1,(x9),21956111,-2494755.0,915813564
10,+1,Stephen Sanchez ,Until I Found You,6,10,,21822777,1666570.0,103784452
11,+10,NewJeans ,Ditto,4,11,,21677065,3664459.0,68067644
12,+7,RAYE ,Escapism.,7,12,,21429705,2773622.0,109327462
13,=,Rema ,Calm Down,20,13,,20759756,814671.0,308893083
14,+6,JVKE ,golden hour,20,14,,19886531,1406596.0,282660890
15,+3,Tom Odell ,Another Love,92,15,,19683471,869838.0,960815803
16,-2,Drake ,Rich Flex,10,2,(x1),19354054,-431589.0,265183146
17,-2,OneRepublic ,I Ain't Worried,32,7,,19178078,-364159.0,625122651
18,-2,Ozuna ,Hey Mor,13,14,,19067248,-255087.0,228828761
19,+4,The Weeknd ,Die For You,52,19,,18785838,1175379.0,540570233
20,-8,Meghan Trainor ,Made You Look,12,8,,18591771,-1475487.0,221625214
21,+1,Central Cee ,LET GO,4,19,,18433690,531070.0,77590687
22,+6,d4vd ,Here With Me,11,22,,18219249,1442345.0,145129054
23,-13,Bad Bunny ,Me Porto Bonito,36,2,(x1),18132776,-2452416.0,1081103183
24,+3,Eminem ,Mockingbird,13,24,,17710376,911118.0,195648677
25,+28,Miguel ,Sure Thing,5,25,,17101609,5844129.0,54851711
26,-2,Oliver Tree ,Miss You,14,11,,17020232,-395327.0,253991950
27,-2,Ñengo Flow ,Gato de Noche,3,25,,16826084,-575559.0,55174215
28,+3,Arctic Monkeys ,I Wanna Be Yours,27,27,,16542826,845778.0,332739686
29,-12,Bad Bunny ,Tití Me Preguntó,36,4,,16512099,-2738675.0,974249817
30,+65,NewJeans ,OMG,2,30,,16499391,7621342.0,25377440
31,-5,Chris Brown ,Under The Influence,25,6,,15898859,-1097859.0,505331186
32,+5,d4vd ,Romantic Homicide,19,17,,15716834,872190.0,286956562
33,+26,Fuerza Regida ,Bebe Dame,2,33,,15240261,4669083.0,25811439
34,+1,Steve Lacy ,Bad Habit,27,10,,15203124,31331.0,521287999
35,+4,The Neighbourhood ,Sweater Weather,149,19,,14859289,383295.0,1343718503
36,+2,Rosa Linn ,SNAP,27,16,,14672479,-19000.0,416217045
37,-8,ROSALÍA ,DESPECHÁ,24,5,,14534374,-1878641.0,517235075
38,-6,Lady Gaga ,Bloody Mary,7,31,,14466738,-1058261.0,104814981
39,NEW,Bizarrap ,"Shakira: Bzrp Music Sessions, Vol. 53",1,39,,14393342,,14393342
40,+1,King ,Maan Meri Jaan,8,40,,14237358,-206150.0,99597999
41,-8,Bad Bunny ,Efecto,36,6,,14156998,-1358417.0,776595688
42,+3,Lil Uzi Vert ,Just Wanna Rock,12,42,,14146121,717561.0,143164829
43,+8,Metro Boomin ,Superhero (Heroes & Villains) [with Future & Chris Brown],6,15,,14044668,1717639.0,94519639
44,+3,Imagine Dragons ,Bones,44,26,,13772742,692287.0,472773617
45,-9,Glass Animals ,Heat Waves,107,1,(x10),13749412,-1320155.0,2109785409
46,-12,Bad Bunny ,Ojitos Lindos,36,3,(x2),13701369,-1547875.0,835016517
47,-4,SZA ,Nobody Gets Me,5,12,,13664312,81827.0,86305545
48,-4,Feid ,Feliz Cumpleaños Ferxxo,21,38,,13614448,146035.0,249680207
49,+1,The Weeknd ,Starboy,133,1,(x6),13540082,818994.0,1353585964
50,-10,The Kid LAROI ,Stay,79,1,(x12),13422875,-1052191.0,2244267438
51,-21,Beyoncé ,CUFF IT,21,13,,13334215,-2471804.0,303111842
52,-10,The Weeknd ,Blinding Lights,163,1,(x13),12719479,-1359801.0,3291327093
53,-1,Joji ,Glimpse of Us,31,1,(x1),12361086,228304.0,697978803
54,NEW,Yandel ,Yandel 150,1,54,,12150584,,12150584
55,+116,Marília Mendonça ,Leão,2,55,,12008314,4829640.0,19186988
56,-7,Rauw Alejandro ,LOKERA,22,38,,12003294,-925209.0,257876910
57,-3,SZA ,Shirt,11,21,,11490684,385576.0,145618530
58,+2,Quevedo ,Punto G,10,58,,11387945,951245.0,99165521
59,-1,Shakira ,Monotonía,12,21,,11222037,433856.0,176899905
60,+19,Carin Leon ,Que Vuelvas,2,60,,11098325,1881194.0,20315456
61,-13,Bad Bunny ,Neverita,36,15,,10933949,-2114022.0,471672696
62,-16,Elton John ,Cold Heart,74,4,,10887566,-2452971.0,1314935328
63,-1,The Weeknd ,I Was Never There,32,17,,10824856,598406.0,304723168
64,-8,Stephen Sanchez ,Until I Found You,36,20,,10672440,-268106.0,482639173
65,+4,SZA ,Low,5,29,,10667485,824040.0,62295666
66,-3,LE SSERAFIM ,ANTIFRAGILE,12,63,,10481962,332802.0,116067796
67,+8,Tiësto ,10:35,4,67,,10410147,963822.0,34652646
68,=,Arctic Monkeys ,505,54,43,,10378573,523679.0,494727060
69,-5,Ruth B. ,Dandelions,74,34,,10340508,362526.0,686988906
70,+36,Tory Lanez ,The Color Violet,2,70,,10203504,1651127.0,18755881
71,-4,Fujii Kaze ,Shinunoga E,8,66,,10080283,189673.0,81538256
72,+21,ThxSoMch ,SPIT IN MY FACE!,9,72,,10009994,1086439.0,74255148
73,+4,Grupo Frontera ,No Se Va,15,36,,9956140,656710.0,163504445
74,-19,Bad Bunny ,Moscow Mule,36,2,(x2),9932416,-1040113.0,709726700
75,+17,Billie Eilish ,lovely,247,24,,9864315,938461.0,2029742349
76,-5,Taylor Swift ,Lavender Haze,12,2,(x1),9842306,80899.0,235096891
77,-4,Rema ,Calm Down,27,73,,9675280,81441.0,198063420
78,+35,NewJeans ,Hype Boy,15,78,,9601175,1212577.0,112846674
79,+9,The Weeknd ,Call Out My Name,64,1,(x1),9500339,490761.0,602334730
80,-8,BLACKPINK ,Shut Down,17,1,(x1),9440820,-179299.0,258421359
81,+44,Cris Mj ,Marisola,3,81,,9440695,1327558.0,25294066
82,+2,Eminem ,Without Me,81,31,,9399089,291956.0,571574408
83,-18,KAROL G ,PROVENZA,38,6,,9394755,-530754.0,637564557
84,-10,Harry Styles ,Late Night Talking,34,2,(x1),9308853,-143176.0,513344954
85,-7,Charlie Puth ,Left and Right (Feat. Jung Kook of BTS),29,7,,9308339,76846.0,439726927
86,-3,Lil Nas X ,STAR WALKIN' (League of Legends Worlds Anthem),16,22,,9252875,134213.0,177199443
87,-5,Kordhell ,Murder In My Mind,22,82,,9238361,112497.0,187634790
88,+2,The Weeknd ,Save Your Tears,110,2,(x4),9212348,209927.0,1227315734
89,+7,Drake ,Jimmy Cooks,30,7,,9192290,317406.0,388670233
90,-14,Quevedo ,Vista Al Mar,18,45,,9167184,-237984.0,181745224
91,+54,Hotel Ugly ,Shut up My Moms Calling,8,91,,9149116,1416792.0,57849610
92,+17,Rihanna ,Lift Me Up,11,11,,9130914,634409.0,146965945
93,+49,Arijit Singh ,"Apna Bana Le (From ""Bhediya"")",2,93,,9092187,1337718.0,16846656
94,+6,KAROL G ,CAIRO,8,75,,9073164,444058.0,75697355
95,-1,Coldplay ,Yellow,108,56,,8967914,72616.0,738476269
96,-11,Taylor Swift ,Midnight Rain,12,4,,8919292,-108807.0,227233587
97,+13,Zach Bryan ,Something in the Orange,18,57,,8849434,356816.0,154316427
98,+40,Lewis Capaldi ,Someone You Loved,209,4,,8843090,1066231.0,2536275696
99,+81,RAYE ,Escapism.,2,99,,8839955,1791351.0,15888559
100,+16,J. Cole ,No Role Modelz,160,64,,8821050,509856.0,717337133
101,-35,Jung Kook ,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],8,14,,8811758,-1112807.0,113705243
102,+10,Ed Sheeran ,Perfect,304,4,,8805076,316633.0,2245579816
103,-5,Coldplay ,Viva La Vida,24,98,,8777245,40595.0,160851606
104,+17,INTERWORLD ,METAMORPHOSIS,4,104,,8751125,556011.0,32525196
